Date of Comment;Country;Comment Title;FULL COMMENT;Our Comments;Service-On Board/Off Board;Punctuality;Airplane Infrastructure;Other Factors;Positive Comment;;;;;;;;;;;;;;;;;;;
2024-10-23T00:02:31.000Z;GB;So unfair.;"Awful awful airline. Avoid at all costs!

Waited 3 hours for delayed flight at Naples airport with no update, to finally be ushered onto the plane. Sat on the plane for over an hour before being asked to go back into the airport with no explanation.. eventually fellow passengers found out by googling (!!) that Wizz air had decided the flight staff weren’t allowed to work on the flight.. wouldn’t anyone have thought to check this first?!! Sat in airport for further 2 hours with NO communication and not a person in sight who resembled customer service. When we finally found someone they had no idea and blamed other Wizz staff..

Eventually we were ushered into a bus and put up in a hotel at 10pm to be told we had to be up at 330am for a rescheduled flight.. which itself was delayed!

Shambles of an airline, I agree with many of the other comments on here.. use another airline if you have any option..

We have been told we are entitled compensation however Wizz air have absolved themselves from any responsibility blaming the 3rd party we booked through despite having been advised Wizz air being legally responsible. Joke of a company";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-10-17T19:43:04.000Z;PT;Terrible airlines;"Where do i start.....a bunch of cowboys, staff are unprofessional, spent most of the flight gossiping about other members of staff. These girls do not like Reuben, whoever he may be.
No one wore name tags, so I can't name anyone. Staff would whisper and giggle about custo.ers on the flight.

Website and app are useless, always crashing and clunky to use. Found out before returning home that we had to log on and pay ?2.50 per person to be emailed a copy of our boarding passes. Either that, or we would have to pay 40 euros each to get the boarding passes at the airport.
The app and website never managed ro get through ro payment when trying to process the online check in and we ended up being charged over 80 euros at the airport for our boarding passes.";;YES;NO;No;Website, check-in issues;NO;;;;;;;;;;;;;;;;;;;
2024-11-11T14:10:14.000Z;GB;Comical Customer Service;"Looks like people only come to write a review when its bad feedback to give. I am here to break that chain and write something good about Wizz air based on my experience last week. Me and my husband travelled to Albania with Wizz air last week. We only took our backpacks as it was a short 3 days. So didn’t have extra luggage to check in. We did online check in 24 hours before the flight using the app, as it didn’t let us check in before that without paid seats. We were allocated 2 seats on opposite sides of the same row but we switched with another couple who were in a similar seating arrangement. So it worked well for both of us. We are not British or EU citizens so after the check in online, we could not print our boarding passes as there was a message to produce our documents at the counter at airport, after reading all the bad reviews I was worried that we might have to pay extra to print boarding passes, but it was not the case, staff at the Wizz counter checked our passport and BRP and printed the boarding passes without us having to pay for it. It was quick and smooth.

On our return journey we could not complete online check in even 24 hours prior to departure without a seat booking, I guess this is a trick they use. Since I read all the bad reviews I knew better than not to just turn up at airport but to pay ?12 per seat and confirm the online check in. its still cheaper to pay for the seats than pay for airport check in. Again, printed the boarding passes at the airport at no cost.

All staff at airports and on board were very nice and helpful. Take offs and landings were surprisingly very smooth, better than some big name airlines to be honest! Only giving 4 stars because of the trick they played on the return journey where we had to pay for seats to continue with our online check in. otherwise everything was great. As well as you could expect of a budget airline.

Also they have all the extra charges listed out on their website, so do your research thoroughly before you book your tickets. And if you don’t have visa requirements, then make sure to print your boarding pass at home and take.

Happy travels!";;NO;NO;NO;NO;YES;;;;;;;;;;;;;;;;;;;
2024-10-18T01:00:55.000Z;IL;Think twice before choosing WIZZair!;"let me have it I try to do it online and it didn't work I tried to speak to a representative and it took forever until I could find their customer service number. when I finally did the customer service agent couldn't have been worst!!! An extremely rude representative who did not speak English clearly was rude the entire conversation and hung the phone up on my face when I tried to understand what he was talking about.
That's after a very unsatisfied attempts I had while trying to solve my flight cancellation issues on my own!
I can't think of a worst customer service experience";;YES;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-09-30T17:21:00.000Z;GB;Rude steward and worst flight experience.;They now charge for calls, so it's no longer free. There's no live chat support either. It's clear they’re becoming a greedy company. They recently launched the 'All You Can Fly' promotion with enticing terms, only to later change the terms and conditions after people had already paid. This kind of bait-and-switch tactic is misleading and unethical. It’s disappointing to see a company stoop to such practices.;;YES;NO;NO;Fake promotion, paid online customer service ;NO;;;;;;;;;;;;;;;;;;;
2024-09-25T12:53:22.000Z;PT;"A ""low budget"" company";Bought the Wizz air annual multiplass deal. Completely useless. Tried to book Porto to Rome as soon as flights opened. They changed the rules after taking peoples money to say even if there's availability on normal booking don't expect to book using the Multipass!!! Only availability on cheap flights. BIG CON by Wizz Air.;;NO;NO;NO;Useless deals/promo;NO;;;;;;;;;;;;;;;;;;;
2024-10-24T10:54:37.000Z;GB;;"Graet value & services

I was pleasantly surprised at how wonderful our Wizzair holiday to Poland was. It was firstly great value, the hotel was lovely as described and flight there was on time and the process was smooth. The Wizzair staff we interacted with were professional but also so down to earth and fun especially one of the stewards on the flight.

Overall really good experience and would book a holiday through Wizzair again.";;YES;YES;NO;Hotek booking service through Wizz Air;YES;;;;;;;;;;;;;;;;;;;
2024-09-28T12:24:03.000Z;NL;;"No 24h free flight cancellation/change option. I immediately saw that the ticket I bought was for the wrong flight, but the cancellation fee was more expensive than the flights itself. I had to change the flight otherwise they'll charge €80 per flight for not showing up. :)))))

That cost me additional €84.

Avoid WizzAir if possible.

Message to other airlines: Check wizzair's routes and have one there as well. They charge extremely high because competition is non-existent or low.";;NO;NO;NO;Extra fees/charging;NO;;;;;;;;;;;;;;;;;;;
2024-10-06T11:03:39.000Z;GB;;"Absolutely deplorable!
I had to make a change to our baggage allowance and not owning a 'Smart phone' I elected to check in at the airport. I was charged a total of ?89.00, ?89.00 !!! for what?
Not only am I disadvantaged by not owning a 'Smart phone' I feel positively prejudiced against.
I spent hours online trying to complain and request a refund but to no avail. 'Amelia' the virtual assistant absolutely useless!! when I finaly got a number to call I was expected to pay for the call, WHAT!!";;YES;NO;NO;Extra fees/charging, discrimination;NO;;;;;;;;;;;;;;;;;;;
2024-10-15T00:24:39.000Z;IT;;"Worst experience with a flight I have ever had. Flew from Spain to Italy with WIZZ air as it was the only flight available on the date we needed to travel.
The booking said you could check in online or at the airport. It doesn't mention that if you do check in at the airport it's a 45euro fee for each passenger. Customer service was rude, flight was uncomfortable and cramped. Ticket was more expensive than a regular ticket once all the fees for checked luggage and hidden charges were added. To top it all off, my husband's luggage was lost with no way to contact anyone about it. Only an online portal which may or may not be answered within 30 days, long after our holiday is over. Do not use this airline if you can possibly avoid.";;YES;NO;YES;Extra fees/charging;NO;;;;;;;;;;;;;;;;;;;
